2a cad2021	member 1	member 2	member 3
stage1-ag1	40823145	40823108	
stage1-ag2	40523252	40623121	
stage1-ag3	40623234	40423113	
stage1-ag4	40823101	40823104	
stage1-ag5	40823102	40823106	
stage1-ag6	40823111	40823139	
stage1-ag7	40823129	40823149	
stage1-ag8	40823103	40823107	
stage1-ag9	40823115	40823140	
stage1-ag10	40823109	40823112	
stage1-ag11	40823119	40823150	
stage1-ag12	40823120	40823124	
stage1-ag13	40823117	40823122	
stage1-ag14	40823125	40823110	40823132
stage1-ag15	40823126	40823128	
stage1-ag16	40823146	40823114	
stage1-ag17	40823142	40823144	
stage1-ag18	40823135	40823121	
stage1-ag19	40823123	40823136	
stage1-ag20	40823127	40823148	
stage1-ag21	40823152	40823153	40823154
stage1-ag22	40823151	40871106	
stage1-ag23	40823116	40823131	
