cd2021 2b	member 1	member 2	member 3
stage1-bg1	40823245	40823251	
stage1-bg2	40823234	40823235	
stage1-bg3	40823206	40823207	
stage1-bg4	40723215	40723128	
stage1-bg5	40823238	40823218	
stage1-bg6	40823214	40823225	
stage1-bg7	40823212	40823236	
stage1-bg8	40823208	40823246	
stage1-bg9	40823201	40823217	
stage1-bg10	40723106	40723139	40723143
stage1-bg11	40823205	40823239	
stage1-bg12	40823202	40823203	
stage1-bg13	40823223	40823224	
stage1-bg14	40823228	40823242	
stage1-bg15	40823211	40823216	
stage1-bg16	40823221	40823237	
stage1-bg17	40832244	40823250	
stage1-bg18	40823209	40823210	
stage1-bg19	40823219	40823231	
stage1-bg20	40823213	40823232	
stage1-bg21	40823247	40823248	
stage1-bg22	40823222	40823244	
stage1-bg23	40723224	40623144	
stage1-bg24	40823204	40823220	
stage1-bg25	40823241	40823227	
stage1-bg26	40723233	40723141	
stage1-bg27	40423155	40823233	
stage1-bg28	40723140	40723135	
stage1-bg29	40623251	40823230	
